id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
5eVyyvVlqzxUt77LWXXo3H,0.487,0.507,6,-9.328,1,0.0283,0.351,0.794,0.221,0.111,96.214
6dwNcWigdxPUcqfz2zM6GL,0.539,0.431,8,-9.298,1,0.0249,0.628,0.653,0.11,0.122,105.156
4eVNSHRazoHgfYGv3AYFyZ,0.415,0.425,7,-11.232,1,0.025,0.497,0.908,0.105,0.248,89.839
6dYcUcj1TyZZES5ivtjLdk,0.455,0.37,2,-9.328,0,0.0247,0.533,0.959,0.111,0.125,73.683
5mBd9k6XlpJR4opfrlOIxN,0.726,0.164,0,-12.361,1,0.0296,0.718,0,0.0971,0.301,104.97
3bGtJ7GXZk5UG3f409dPL2,0.723,0.862,9,-4.974,1,0.0452,0.0185,6.15e-05,0.875,0.966,109.88
5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001
3jsYQw78lrxJA2ysnmOIf9,0.659,0.799,1,-2.849,0,0.0629,0.417,0,0.0562,0.782,103.991
2qPQ2MoVwf7VsKddqPfttw,0.728,0.764,2,-2.502,1,0.0345,0.152,0,0.178,0.603,109.985
6IBPrw5nYj84x8JpiOvXUp,0.695,0.895,0,-3.237,0,0.0403,0.618,0.000321,0.307,0.681,105.03
6LAHkI7op52Y4NoK2PGMlH,0.704,0.576,8,-4.962,1,0.0967,0.654,0,0.0865,0.921,206.072
2xGXEZ24o20aSfMTKcATht,0.517,0.482,2,-10.88,1,0.186,0.755,0.000453,0.541,0.752,84.915
4GYfFtyUg9Usmoyd7mhlOJ,0.412,0.453,4,-9.467,0,0.0391,0.372,2.81e-05,0.0741,0.154,132.252
2N5zMZX7YeL1tico8oQxa9,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963
27zrFrtUtWl2urlvjOn5xc,0.696,0.778,1,-4.653,0,0.0585,0.352,0,0.329,0.41,94.996
7rLvsAO1yb7ElxPhkz60qh,0.533,0.838,0,-3.723,1,0.0319,0.102,0,0.394,0.449,75.021
5nclYlcWMW9QgnBZU2apZh,0.496,0.681,2,-4.766,1,0.0683,0.0923,0,0.0756,0.536,170.055
59OFG0mm09ve4i3RcbmdwB,0.508,0.545,11,-6.425,1,0.037,0.58,0,0.361,0.233,129.183
7n5eQJYX7e6H5gkzgyEfQG,0.694,0.592,7,-6.406,1,0.0367,0.742,0,0.124,0.305,95.047
1pEavn8UFAeij6afPwWfvM,0.247,0.41,6,-5.725,1,0.0331,0.756,2.93e-06,0.127,0.125,62.91
1kxbUtDGRDiL2BGTrwYjRR,0.412,0.499,5,-5.538,0,0.0347,0.726,0,0.106,0.158,61.145
6NfiMt1oShCWBvWAsbVup1,0.222,0.354,4,-9.35,1,0.0319,0.962,0.0551,0.104,0.0882,137.503
4PvVKyqJ6pLVi5HKpAjTPc,0.375,0.343,11,-7.224,1,0.0345,0.859,0,0.134,0.158,121.879
5Mu3n2L96MX1lU2EHqnD7p,0.758,0.533,9,-4.189,1,0.0267,0.548,0,0.104,0.395,76.997
6pWeveORQ9qaXy64mv5Yi4,0.371,0.452,3,-6.555,0,0.0335,0.738,0,0.166,0.183,136.883
3BA4weDmmFFZvwu91IYVxh,0.575,0.813,2,-2.629,1,0.0258,0.276,0,0.534,0.46,96.968
7IRZ9aTBu35je2AHT2LxvL,0.747,0.827,1,-2.944,0,0.0421,0.173,0,0.0949,0.403,104.017
357KZRsSgp9bNUULqbAclX,0.691,0.807,2,-3.117,1,0.0654,0.442,0,0.219,0.645,89.959
06XQvnJb53SUYmlWIhUXUi,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935
465JzFiajJO59sUrDFsxdC,0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999
1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,10,-3.193,1,0.0516,0.305,0,0.115,0.707,134.991
