id,song,artist,album,popularity,duration,img_url,genres
31zak6bhp3N2eU8tmLVo9W,419,Quanium,419,1,147840,https://i.scdn.co/image/ab67616d0000b273969bc686e702cc85afbc6f0b,[]
01GttEhbqMrVWdq26icFku,một file âm thanh nhỏ.mp3,itsnk,một file âm thanh nhỏ.mp3,29,236347,https://i.scdn.co/image/ab67616d0000b2739f32d5cd3cadabc0fdbff259,['vietnamese hip hop']
22F7P7QnaVspdf5rKveBaS,Lối Nhỏ,Đen,Lối Nhỏ,1,252953,https://i.scdn.co/image/ab67616d0000b27390bce403c677305693f3e8ea,"['indie viet', 'v-pop', 'vietnamese hip hop']"
2Emlw3C8Rqn9lAen25OItw,Cảm ơn,Đen,Cảm ơn,0,215172,https://i.scdn.co/image/ab67616d0000b2736ae3640bda1c335fca855091,"['indie viet', 'v-pop', 'vietnamese hip hop']"
5RutrRsc0LPcZn2hAN11Ry,Trời Ơi Con Chưa Muốn Chết,Đen,Trời Ơi Con Chưa Muốn Chết,0,162441,https://i.scdn.co/image/ab67616d0000b27322af611226e4e3d9163caf02,"['indie viet', 'v-pop', 'vietnamese hip hop']"
3wGx3gYPjECKZazGNuPEX2,Phải Chăng Em Đã Yêu?,Juky San,Phải Chăng Em Đã Yêu?,46,190000,https://i.scdn.co/image/ab67616d0000b273bebe2d4754ba6abfc0051f1d,['v-pop']
6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Girls Like You (feat. Cardi B),73,235545,https://i.scdn.co/image/ab67616d0000b27334ce9a9dde9c057225509276,"['pop', 'pop rock']"
1HYzRuWjmS9LXCkdVHi25K,Stay With Me,CHANYEOL,"Guardian (Original Television Soundtrack), Pt. 1",74,192441,https://i.scdn.co/image/ab67616d0000b2730f5c597bba60a1e0c5364baa,['k-pop']
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,Back from the Edge,85,211466,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,"['pop', 'talent show', 'uk pop']"
1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson),76,212459,https://i.scdn.co/image/ab67616d0000b2735b1130d050c4cd2295999d85,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],75,192452,https://i.scdn.co/image/ab67616d0000b27391994452af66b672954b6eb4,['k-pop']
6f3Kn4QtwZPU2IvwwDSbLF,La Da Dee,Cody Simpson,Surfers Paradise,31,196786,https://i.scdn.co/image/ab67616d0000b27396ed3ee8924c71a5da337f35,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
0uUNN1nSoUx1A4fkDCWDQ7,So Am I,Ava Max,So Am I,6,183026,https://i.scdn.co/image/ab67616d0000b273b8dcf98474721fe404ad780d,"['dance pop', 'pop']"
7hTMgYCxLBTmFlEFC91VZQ,Sweet but Psycho,Ava Max,So Am I,0,187436,https://i.scdn.co/image/ab67616d0000b273b8dcf98474721fe404ad780d,"['dance pop', 'pop']"
4AMY0oGSt7vZwgxDnHCJBr,True Colors (feat. Maya Avedis),XO Cupid,True Colors (feat. Maya Avedis),58,184019,https://i.scdn.co/image/ab67616d0000b273e773fd371c2a1a40ba197637,[]
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,Pray for the Wicked,82,190946,https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989,['modern rock']
7j56HrjR9cGzvekvZY3Faz,HandClap,Fitz and The Tantrums,Fitz and The Tantrums,66,193253,https://i.scdn.co/image/ab67616d0000b27358c4833cc8b1a3d6e4890940,"['indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
0mtmrbRFsectINNpHdDkUQ,Just Imagine It,MKTO,Bad Girls EP,58,250746,https://i.scdn.co/image/ab67616d0000b273acba4cdfd13828b5dc982249,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'social media pop']"
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,The Chainsmokers,Don't Let Me Down,80,208373,https://i.scdn.co/image/ab67616d0000b273df7cddc2d32ef9df762d5a30,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,A Head Full of Dreams,82,258266,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,"['permanent wave', 'pop']"
2lYTJK94hb0fd1LQtb6Dhk,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,Don't Leave Me Alone (feat. Anne-Marie),61,183750,https://i.scdn.co/image/ab67616d0000b27303889a8b80ee94dccdbe34f5,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,Speak Your Mind (Deluxe),82,186986,https://i.scdn.co/image/ab67616d0000b27338aae75dc37fb42457866ffd,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
3b5Li4QKDVBx1x7fQuu54a,Tired,Alan Walker,Tired,65,192111,https://i.scdn.co/image/ab67616d0000b273c311619d7b02d5c4a6c167f2,['electro house']
6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,Old Town Road,4,157066,https://i.scdn.co/image/ab67616d0000b273bc5839eea68e7ff7f1010f93,"['lgbtq+ hip hop', 'pop']"
2F83FxNVkK6PPMHuYnwyVc,Let It Be Me (feat. Ava Max),David Guetta,7,66,172933,https://i.scdn.co/image/ab67616d0000b27367e400c9be79e6b0b0086880,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
0o9bHFc8Lt5tZFvTjNZTNf,Forever Young,John De Sohn,Forever Young,59,167911,https://i.scdn.co/image/ab67616d0000b273a21da8cbcee1d0e640df539c,"['deep pop edm', 'edm', 'pop dance', 'pop edm', 'progressive electro house', 'swedish pop', 'swedish tropical house', 'tropical house']"
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),81,219946,https://i.scdn.co/image/ab67616d0000b27357cc434093fd4b6af7500fd8,"['pop', 'uk pop']"
78nplE9X2ZGvQh3TKgvldE,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,The Greatest Showman: Reimagined,64,218293,https://i.scdn.co/image/ab67616d0000b273828789ff08a16218b2ea9445,"['pop', 'talent show', 'uk pop']"
3TXSdTpaqKBpWyUG3aJ3LK,Mượn Rượu Tỏ Tình,BigDaddy,Mượn Rượu Tỏ Tình,2,198375,https://i.scdn.co/image/ab67616d0000b27370c134651375c97ac3807c2e,"['v-pop', 'vietnamese hip hop']"
2cKovq3l6OJjhVVDbVKOsr,The Other Side,Hugh Jackman,The Greatest Showman (Original Motion Picture Soundtrack),73,214373,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd,"['hollywood', 'show tunes']"
